number;ProjectID;RequirementText;class;NFR;F;A;FT;L;LF;MN;O;PE;PO;SC;SE;US
15;nasa x38.doc_15;The FCP shall [SRS221], after application initialization is complete, send an FCP Ready Sync message to the ICP.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
16;nasa x38.doc_16;The FCP shall [SRS189] wait up to 2.5 seconds (from the sending of the FCP Ready Sync) for the ICP Ready signal. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
17;nasa x38.doc_17;Note that FTSS will not fail the FCR if this signal is not received within this time.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
18;nasa x38.doc_18;FTSS will wait until the normal ICP presence test fails.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
19;nasa x38.doc_19;The FCP shall [SRS243], if the NEFU ICP fails to send its ICP Ready signal, mask out that ICP, but continue to use the NE.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
20;nasa x38.doc_20;System Initialization shall [SRS199], when all other activities are completed, start the 50 Hz timer and enable the timer interrupt. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
21;nasa x38.doc_21;This will allow the interrupt handler to initiate normal activities.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
22;nasa x38.doc_22;System Initialization, from hardware reset to starting of the 50 Hz timer, shall [SRS015] take no longer than 1.5 minutes.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
23;nasa x38.doc_23;"Whenever the 50 Hz timer interrupt occurs, the interrupt handler invokes the scheduler (there are various ways to implement this invocation, such as using a procedure call or by setting an event; no specific implementation is to be inferred). ";F;0;1;0;0;0;0;0;0;0;0;0;0;0
24;nasa x38.doc_24;The scheduler allows the application to create lists of tasks that run during a given segment of time, at various rates.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
25;nasa x38.doc_25;"The application can create ""vehicle modes"" to designate a unique segment.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
26;nasa x38.doc_26;"The application can also set up ""rate groups"".";NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
27;nasa x38.doc_27;Each rate group has some number of tasks associated with it, and it also has a rate for those tasks. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
28;nasa x38.doc_28;These contain the tasks that will run at that rate in different vehicle modes. Some number of rate groups can be associated with a given vehicle mode.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
29;nasa x38.doc_29;When an API call is made to change the vehicle mode, the scheduler will disable the tasks associated with all the rate groups in the old vehicle mode, and enable the tasks associated with all the rate groups in the new vehicle mode.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
30;nasa x38.doc_30;The enabled tasks are then unblocked at the rate given in its associated rate group. An API call is available for the task to call to block itself when it is finished with its cyclic processing.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
31;nasa x38.doc_31;The scheduler shall [SRS017] provide an API call to install a task into a rate group. The API call is invoked during system initialization.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
32;nasa x38.doc_32;The scheduler shall [SRS196] support up to 20 tasks per rate group.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
33;nasa x38.doc_33;The scheduler shall [SRS018] provide an API call to install a rate group into a vehicle mode at system initialization.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
34;nasa x38.doc_34;The scheduler shall [SRS197] support up to 3 rate groups per vehicle mode.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
35;nasa x38.doc_35;The scheduler shall [SRS195] support up to 5 vehicle modes.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
36;nasa x38.doc_36;The FTSS software shall [SRS002] provide the identical services in all vehicle modes.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
37;nasa x38.doc_37;The scheduler shall [SRS019] provide an API call for an FCP application task to alert the scheduler of a vehicle mode change.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
38;nasa x38.doc_38;The scheduler shall [SRS020] complete the change from one vehicle mode to the next within 1.02 seconds.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
39;nasa x38.doc_39;There is up to a full major frame from notification of an impending mode change to acting on it in minor frame 0 of the next major frame plus the time it takes during the next minor frame 0 to switch tasking.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
40;nasa x38.doc_40;The scheduler shall [SRS021] process vehicle mode changes during minor frame 49.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
41;nasa x38.doc_41;The scheduler shall [SRS022] execute cyclic tasks, providing an API call to allow the application to block until its next iteration.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
42;nasa x38.doc_42;The scheduler shall [SRS024] execute as the highest priority FTSS or application task in the system.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
43;nasa x38.doc_43;The scheduler shall [SRS025] keep a minor frame count from 0 to 49.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
44;nasa x38.doc_44;The scheduler shall [SRS027] give tasks priority values according to their rate - the higher the rate, the higher the priority.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
45;nasa x38.doc_45;The scheduler shall [SRS028] detect 50 Hz, 10 Hz and 1 Hz rate group over-runs.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
46;nasa x38.doc_46;The scheduler shall [SRS029] report rate group over-runs to the application via an API service for incorporation in the telemetry data stream.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
47;nasa x38.doc_47;The scheduler shall [SRS216] provide an API call to specify which task was running within the rate group which over-ran.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
48;nasa x38.doc_48;The scheduler shall [SRS030] provide a mechanism to inform a task when it did not complete during the previous frame and restart it at the beginning of the task.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
49;nasa x38.doc_49;The scheduler shall [SRS181] set the 50 Hz interval timer to a count down value so as to cause the next minor frame interrupt at 20 msec from the previous interrupt congruently in all operational FCPs.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
50;nasa x38.doc_50;The scheduler shall [SRS032] issue a 50 Hz interrupt to the ICPs by means of a VMEbus IRQ5 interrupt.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
51;nasa x38.doc_51;The scheduler shall [SRS191] issue the 50 Hz interrupt to all the ICPs with a skew no greater than 330 microseconds.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
52;nasa x38.doc_52;The scheduler shall [SRS033] send the minor frame number, vehicle mode, mission elapsed time (MET), and separation elapsed time (SEP) to the ICP prior to the 50 Hz interrupt. Note: The NE unique identifier (NE ID) is available to the ICPs via the ftss_my_icp() API call.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
53;nasa x38.doc_53;The scheduler shall [SRS034] take no longer than 1 millisecond to execute scheduler and Time Services FTSS overhead tasks in each rate group. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
54;nasa x38.doc_54;This means that the time from the 50 Hz timer interrupt to the start of the first task in the 50 Hz rate group will be less than or equal to 1 millisecond, assuming 27 packets of data need to be delivered.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
55;nasa x38.doc_55;The FTSS software shall [SRS278] provide an API call that provides the application program the minor frame number.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
56;nasa x38.doc_56;The behavior of synchronous tasks executed by the scheduler must be deterministic.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
57;nasa x38.doc_57;The scheduler shall [SRS035] provide rate groups that execute at 50 Hz, 10 Hz and 1 Hz., with a drift rate no greater than 50 microseconds per second, and with a jitter no greater than 330 microseconds.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
58;nasa x38.doc_58;The scheduler shall [SRS037] provide a method to schedule tasks at a set rate and in a set order within the rate group.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
59;nasa x38.doc_59;The scheduler shall [SRS198] execute all the tasks in each of the rate groups that have been installed in the current mode.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
60;nasa x38.doc_60;The scheduler shall [SRS039] rely on the order used in adding tasks to a rate group to determine the task priorities.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
61;nasa x38.doc_61;"The scheduler shall [SRS042] provide a method for a task to be scheduled as a 50 Hz ""helper"" task for source congruency input exchanges and voted output exchanges that starts in a particular minor frame but runs only during every 5th or 50th minor frame, effectively running at a lower, sub-rate, 10 Hz or 1 Hz, respectively.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
62;nasa x38.doc_62;The scheduler shall [SRS270] provide a task deadline capability that allows the application to specify which minor frame a task should start in and finish in.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
63;nasa x38.doc_63;All tasks in rate groups and their corresponding schedules for all vehicle modes will be setup at system initialization.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
64;nasa x38.doc_64;Tasks in a rate group must suspend on a scheduler API call at the top of their execution loop.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
65;nasa x38.doc_65;For purposes of handling exceptions, exceptions are defined as either software or hardware exceptions. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
66;nasa x38.doc_66;Software exceptions are defined as those mapped into VxWorks signals. All other exceptions are classified as hardware exceptions.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
67;nasa x38.doc_67;Upon the occurrence of an exception of either kind (hardware or software), the FCP shall [SRS172] make the error type available to the application, via an API service, for incorporation in the telemetry stream and include all context data relevant to the exception, namely the contents of the Machine State Register (MSR), and the machine status Save/Restore Registers (SRR0 & SRR1).;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
68;nasa x38.doc_68;The scheduler shall [SRS031] provide a mechanism for a task optionally to define a user written software-exception-handling routine that runs in the context of the task.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
69;nasa x38.doc_69;For hardware exceptions and reserved exceptions, the FTSS shall [SRS276] make the error type and its context data available to the application, then return from the exception handler to the task that was running when the exception occurred.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
70;nasa x38.doc_70;For software exceptions occurring within the FTSS, the FTSS shall [SRS277] make the error type and its context data available to the application, then restart the offending task at its beginning.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
71;nasa x38.doc_71;For other software exceptions, regardless of whether or not a user written exception handling routine is invoked, if an exception occurs, the scheduler shall [SRS173], after making available the error type and context data to the application, resume processing (after the exception-handling routine runs, if provided) at the initialization point of the offending task.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
72;nasa x38.doc_72;For software exceptions occurring during Startup, FTSS shall [SRS301] issue a VME reset to the FCR in which the exception occurred.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
73;nasa x38.doc_73;There are two types of memory violations that might occur: 1) as a result of a hardware fault or SEU and 2) as a result of a common mode (usually, software) error. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
74;nasa x38.doc_74;Memory violations that result from random hardware faults will be detected in the same way as any other hardware fault is detected in the FTPP and don't require memory protection for them to be detected and dealt with.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
75;nasa x38.doc_75;In the second case, NASA has determined that however the memory protection function is implemented, the policy will be to restart the task that is executing when a memory violation (exception) is detected.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
76;nasa x38.doc_76;The watchdog timer and ground based testing will uncover some but not all of the possible memory faults.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
77;nasa x38.doc_77;The FTSS communication services provide message-passing capabilities that are layered on top of the packet based network element communication hardware. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
78;nasa x38.doc_78;Messages are contiguous blocks of variable length data that are transferred from one task to another. Messages are addressed with a global unique communication identifier that routes them to the appropriate virtual group (VG) and socket.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
79;nasa x38.doc_79;Associated with the message are descriptor fields describing the sender, receiver, the type of message, and how the message is to be exchanged.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
80;nasa x38.doc_80;The unique identifier for an end point consists of a virtual group identifier and a socket identifier.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
81;nasa x38.doc_81;The sending and receiving end points may live on the same virtual group or on different virtual groups.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
82;nasa x38.doc_82;"Communication Services are divided into two constituent capabilities: ""Synchronous"" message services and ""Immediate"" message services, ""Synchronous"" message services send and receive data on rate group frame boundaries; thus allowing safe inter-rate group communication, ""Synchronous"" message services are provided by message queue sockets, ""Immediate"" message services unlike ""synchronous"" message services initiate a message transfer immediately, when used for inter-VG communication, ""immediate"" message services interface directly with the Byzantine Resilient Virtual Circuit (BRVC) abstraction level communications interface and force an immediate network element access, ""Immediate"" message passing between virtual groups is restricted to the highest priority rate group on the FCP, this restriction does not apply to the ICPs, ""Immediate"" message passing within a virtual group is not restricted to the highest rate group, but must be used carefully by the application to prevent desynchronization, ""Pipe"" sockets provide ""Immediate"" message services.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
83;nasa x38.doc_83;Communication services provide a message passing capability that guarantees congruent use of the network element among the members of a virtual group under fault free conditions.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
84;nasa x38.doc_84;"Communication services shall [SRS047] provide ""synchronous"" message passing services in the form of ""message queues"".";F;0;1;0;0;0;0;0;0;0;0;0;0;0
85;nasa x38.doc_85;"Communication services shall [SRS048] provide ""immediate"" message passing services in the form of ""pipes"". ";F;0;1;0;0;0;0;0;0;0;0;0;0;0
86;nasa x38.doc_86;"""Pipes"" provide fast data throughput between virtual groups or within a virtual group when minimal data latency is necessary.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
87;nasa x38.doc_87;"Communication services shall [SRS049] provide the capability to ""broadcast"" messages to all virtual groups.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
88;nasa x38.doc_88;"Communication services shall [SRS050] restrict the use of ""immediate"" message passing services between virtual groups (from FCP to ICP) to tasks running in the highest rate group on the FCP. ";NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
89;nasa x38.doc_89;This restriction does NOT apply to the ICPs since they are running as simplex VGs.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
90;nasa x38.doc_90;Communication services shall [SRS051] detect message passing between application tasks living on the same virtual group and bypass the usage of the network element.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
91;nasa x38.doc_91;Communication services shall [SRS052] route messages to the proper virtual group(s) and socket.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
92;nasa x38.doc_92;Communication services shall [SRS053] deliver messages in the same order at each member of a virtual group.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
93;nasa x38.doc_93;Communication services shall [SRS054] perform synchronous message passing at rate group frame boundaries. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
94;nasa x38.doc_94;This restriction does NOT apply to the ICPs since they are running as simplex VGs.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
95;nasa x38.doc_95;Communication services shall [SRS235] detect a babbling NE or ICP within 20 milliseconds of the receipt of the first erroneous packet.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
96;nasa x38.doc_96;FTSS shall [SRS255] mask out a babbling NE or ICP within 40 milliseconds after it is detected.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
97;nasa x38.doc_97;Sockets are the end points of FTSS communication, which provide a transparent interface to the BRVC communications layer and a useful interface to the application layer. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
98;nasa x38.doc_98;"Sockets used for ""synchronous"" message passing behave differently than those used for ""immediate"" message.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
99;nasa x38.doc_99;Sockets maintain the buffers between the underlying packet based communication primitives that directly access the network elements and the message based.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
100;nasa x38.doc_100;"Sockets used for ""synchronous"" message passing behave differently than those used for ""immediate"" message passing.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
101;nasa x38.doc_101;"Synchronous message passing sockets shall [SRS055] queue outgoing messages until they are transmitted at frame boundaries. The ""create"" and ""open"" API calls for synchronous sockets allow the application to specify the maximum message size and how many incoming messages the socket may buffer.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
102;nasa x38.doc_102;If there is insufficient space to enqueue a message for transmission, Communication services shall [SRS059] return an error to the corresponding task. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
103;nasa x38.doc_103;Sockets are non-blocking and place the burden of polling on the application task.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
104;nasa x38.doc_104;Message queue sockets allow a single task to queue a variable number of messages, each of variable length. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
105;nasa x38.doc_105;One task is allowed to receive messages from this queue. ;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
106;nasa x38.doc_106;"Message queue sockets define a dedicated communication path between two tasks with guaranteed message delivery. Message queue sockets provide ""synchronous"" communication and perform sending/receiving of messages at frame boundaries.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
107;nasa x38.doc_107;Communication services shall [SRS062] provide a message queue communication mechanism that guarantees message delivery between a sending and receiving task.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
108;nasa x38.doc_108;"The message queue ""create"" API requires the application to specify the sending and receiving virtual group identifiers.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
109;nasa x38.doc_109;"Communication services shall [SRS066] only allow a single task living on each specified virtual group to ""open"" the respective end of the queue.";NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
110;nasa x38.doc_110;"""Pipe"" sockets are used for ""immediate"" communication. They may be created with a broadcast capability. ";F;0;1;0;0;0;0;0;0;0;0;0;0;0
111;nasa x38.doc_111;Pipes may only be opened by one sending task. ;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
112;nasa x38.doc_112;"Pipes may be opened by multiple receiving tasks if they are created with the ""broadcast"" capability; otherwise they may only be opened by one receiving task. Pipes are the only broadcast mechanism available to the application.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
113;nasa x38.doc_113;"Communication services shall [SRS067] provide a ""pipe"" communication mechanism allowing immediate message passing through the network and allowing a 50hz FCP transfer task to poll until it can read an immediate message from the ICP.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
114;nasa x38.doc_114;"Communication services shall [SRS068] provide an API for ""pipe"" communication.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
115;nasa x38.doc_115;"Communication services shall [SRS069] provide the capability to create ""pipe""s which ""broadcast"" their messages to all virtual groups.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
116;nasa x38.doc_116;If the broadcast option is used, each virtual group should open the pipe and read from it to avoid flow control problems.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
117;nasa x38.doc_117;"The ""pipe"" ""create"" API requires the application to specify the sending and receiving virtual group identifiers. ";F;0;1;0;0;0;0;0;0;0;0;0;0;0
118;nasa x38.doc_118;"Communication services shall [SRS073] only allow a single task living on each specified virtual group to ""open"" the respective end of the pipe. In the case of a broadcast ""pipe"", communication services allows one task in each virtual group of the system to open the receiving end of the ""pipe"".";NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
119;nasa x38.doc_119;Fault Detection and Isolation (FDI) provides the capability to detect and diagnose faults within FCC hardware. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
120;nasa x38.doc_120;The functionality of FDI is decomposed into 2 capabilities-Initial Built-In Test (IBIT) and Continuous BIT (CBIT). ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
121;nasa x38.doc_121;FDI IBIT provides the facilities for the detection and diagnosis of faults during system initialization (at power on or CPU reset) on FCPs, ICPs, PMC 1553s, and MPCCs.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
122;nasa x38.doc_122;FDI CBIT provides the facilities for the detection and diagnosis of faults on FCPs during all operational phases. In general, these tests execute system-wide tests using the fault tolerance characteristics of the FTPP architecture.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
123;nasa x38.doc_123;Initial BIT constitutes a series of self-tests provided by the manufacturer of the equipment being tested. Note that by configuring the network elements to automatically enter ISYNC on Power Up, there is no opportunity to perform IBIT on the NEs.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
124;nasa x38.doc_124;Note that by configuring the network elements to automatically enter ISYNC on Power Up, there is no opportunity to perform IBIT on the NEs.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
125;nasa x38.doc_125;The fact that an NE is in sync with the other NEs will have to substitute for a separate NE IBIT function.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
126;nasa x38.doc_126;FTSS IBIT executes on the Flight Control Processors (FCPs) at system initialization. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
127;nasa x38.doc_127;These tests exercise the functionality of the various system components.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
128;nasa x38.doc_128;The FTSS software shall [SRS237] configure the FCP to act as the Radstone IBIT master, with the exception that the ICP on the NEFU is the master.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
129;nasa x38.doc_129;The FTSS shall [SRS260] configure each FCP to perform IBIT Minimum Processing Environment (MPE) Tests, Power-up Tests, and Initial BIT on each FCP, as shown inTable 3.2-2. .;F;0;1;0;0;0;0;0;0;0;0;0;0;0
130;nasa x38.doc_130;The FTSS shall [SRS261] configure each FCP to halt processing if any of the MPE tests fail.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
131;nasa x38.doc_131;The FTSS shall [SRS262] configure each FCP to continue processing if any of the Power-up or Initial BIT tests fail.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
132;nasa x38.doc_132;When the IBIT is complete, the FTSS in the channels that are part of the fault masking group shall [SRS239] report the results of IBIT for all Radstone boards to the application software for telemetry.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
133;nasa x38.doc_133;In IBIT failure cases that cause processing to halt, the failure shall [SRS269] be handled as described in Section 3.2.6.2, Recovery.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
134;nasa x38.doc_134;FTSS shall [SRS290], in ICP and FCP IBIT failure cases that allow processing to continue, after saving the results of IBIT for reporting to the application, in the first minor frame after Startup or recovery, consider the FCR to be failed, and start performing recovery actions for the FCR.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
135;nasa x38.doc_135;Continuous BIT executes on the FCP at all times after initialization is complete. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
136;nasa x38.doc_136;In general, these tests execute system-wide tests using the fault tolerance characteristics of the FTPP architecture.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
137;nasa x38.doc_137;Continuous BIT, in conjunction with Redundancy Management and Scheduler operations running in the 50 Hz rategroup after the application tasks, shall [SRS091] take less than 2 milliseconds under nominal no-fault conditions.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
138;nasa x38.doc_138;Continuous BIT, in conjunction with Redundancy Management and Scheduler operations running in the 50 Hz rategroup after the application tasks, shall [SRS183] take less than 3 milliseconds while processing faults.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
139;nasa x38.doc_139;Continuous BIT shall [SRS093] execute on the FCP virtual group.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
140;nasa x38.doc_140;Continuous BIT shall [SRS094] reset the processor’s built-in watchdog timer at 50 Hz. A failure to reset the watchdog timer within the allotted time (nominally 1.6 seconds) will generate a processor reset.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
141;nasa x38.doc_141;Continuous BIT shall [SRS095] exercise the presence test at 50 Hz to ensure that all processors in the FCP virtual group are synchronized.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
142;nasa x38.doc_142;The presence test shall [SRS184] also ascertain that all processors are executing the same 50 Hz, 10 Hz and 1 Hz frames.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
143;nasa x38.doc_143;Continuous BIT shall [SRS096] diagnose the faulty FCR within 1 second after detecting a failure.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
144;nasa x38.doc_144;Continuous BIT shall [SRS097] detect a failed ICP processor by detecting the absence of a periodic message for 2 consecutive minor cycles.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
145;nasa x38.doc_145;Continuous BIT shall [SRS098] report all diagnosed failures and recovery actions to the application for incorporation in the telemetry stream.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
146;nasa x38.doc_146;RAM scrub shall [SRS043] actively trigger the EDAC function by cyclically reading (and writing back if an error is found) all used RAM.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
147;nasa x38.doc_147;RAM scrub shall [SRS044] report detected errors to the application, congruently on all channels, via an API service for inclusion in the telemetry stream.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
148;nasa x38.doc_148;RAM scrub shall [SRS187] be capable of scrubbing at least 10 megabytes every 8 minutes, given at least 1% of the CPU is available for this processing.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
149;nasa x38.doc_149;RAM scrub shall [SRS275] not scrub the area used for telemetry data.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
150;nasa x38.doc_150;Redundancy Management maintains the mapping of physical hardware to virtual groups. ;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
151;nasa x38.doc_151;This capability reconfigures the mapping in response to a diagnosis of a failed component, which can be a failed processor, failed network element or a link failure. Redundancy Management also performs transient fault analysis within constraints dictated by the mission management application software.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
